map1.txt
1.57,0.78,1.57,0.78,1.57,
1.52906,0.893488,1.47175,0.720986,1.65101,
1.38762,0.842327,1.47172,0.815241,1.75682,
1.35383,0.698009,1.51983,0.844322,1.89421,
1.25534,0.80065,1.51367,0.94645,1.97749,
1.2262,0.689769,1.38957,1.04871,1.95118,
1.13384,0.733131,1.23626,1.14007,1.93887,
1.09384,0.833935,1.15237,1.12014,2.08693,
0.987707,0.93971,1.12856,1.25325,2.11081,
0.912398,0.973751,1.12928,1.10374,2.24393,
0.788839,1.04511,1.14348,1.20116,2.33009,
0.709564,1.17233,1.0407,1.25145,2.29695,
0.581023,1.13022,1.04023,1.34662,2.42336,
0.558539,0.975454,0.944965,1.39115,2.49901,
0.476927,0.868572,0.853338,1.45332,2.54943,
0.461312,0.991777,0.718309,1.49444,2.62715,
0.385185,1.04484,0.645758,1.62841,2.68414,
0.441021,1.04636,0.484474,1.75186,2.73476,
0.573059,1.12203,0.401569,1.75528,2.83342,
0.692485,1.23825,0.398802,1.85079,2.8922,
0.794948,1.32202,0.317757,1.91898,2.94942,
0.806214,1.41164,0.260693,1.75753,3.02272,
0.826908,1.54345,0.143334,1.7336,2.92381,
0.749984,1.68547,0.0602125,1.70873,2.98958,
0.729124,1.77418,0.0319917,1.7336,3.21962,
0.8771,1.86715,0.0244631,1.87144,3.21324,
0.68772,1.91354,6.21362,1.8959,3.17481,
0.777283,2.01714,6.11868,1.97486,3.14917,
0.773494,2.00537,6.0287,2.18417,3.22702,
0.843139,2.07624,6.02842,2.26398,3.39911,
0.832936,2.09273,6.06436,2.40274,3.59042,
0.928738,2.10341,6.01894,2.43247,3.80149,
0.896806,2.1137,6.04913,2.52324,4.031,
0.773584,2.11343,6.01903,2.59357,4.19976,
0.596596,2.1167,5.83094,2.59029,4.1787,
0.563704,2.19974,5.8388,2.61493,4.42296,
0.511337,2.36608,5.74039,2.58238,4.46599,
0.5,2.35,5.74,2.82,4.4,
